gene,chromosome,strand,tss
DDX11L16,chr1,+,11120
WASH7P,chr1,-,30744
MIR6859-1,chr1,-,17436
MIR1302-2HG,chr1,+,28588
MIR1302-2,chr1,+,30365
FAM138A,chr1,-,37595
ENSG00000308361,chr1,+,36525
ENSG00000290826,chr1,+,51890
OR4F5,chr1,+,65418
ENSG00000241860,chr1,-,181719
ENSG00000239945,chr1,-,91105
ENSG00000308314,chr1,+,96637
ENSG00000308579,chr1,-,136246
ENSG00000239906,chr1,-,140339
ENSG00000310528,chr1,-,199861
RNU6-1100P,chr1,-,157887
ENSG00000241599,chr1,+,160445
DDX11L2,chr1,+,180930
WASH9P,chr1,-,201244
MIR6859-2,chr1,-,187958
ENSG00000308625,chr1,+,199107
ENSG00000308544,chr1,+,199947
ENSG00000292994,chr1,-,359681
ENSG00000306775,chr1,+,258695
ENSG00000286448,chr1,+,266752
ENSG00000236601,chr1,+,356137
ENSG00000290385,chr1,-,532459
OR4F29,chr1,-,451678
U6,chr1,-,247607201
ENSG00000293331,chr1,-,633129
LINC00115,chr1,-,827989
ENSG00000235146,chr1,+,587576
ENSG00000278791,chr1,-,632413
OR4F16,chr1,-,686654
RNU6-1199P,chr1,-,758336
ENSG00000229905,chr1,+,760910
LINC01409,chr1,+,778738
FAM87B,chr1,+,817362
LINC01128,chr1,+,825137
ENSG00000297178,chr1,-,835618
ENSG00000297224,chr1,-,852130
FAM41C,chr1,-,877032
ENSG00000296088,chr1,+,882160
ENSG00000272438,chr1,+,904785
ENSG00000298603,chr1,-,910592
LINC02593,chr1,-,925614
SAMD11,chr1,+,923922
NOC2L,chr1,-,959309
KLHL17,chr1,+,960583
PLEKHN1,chr1,+,966481
PERM1,chr1,-,982117
ENSG00000303599,chr1,+,982504
ENSG00000272512,chr1,-,998051
HES4,chr1,-,1000172
ENSG00000303623,chr1,+,1000714
ISG15,chr1,+,1001137
ENSG00000303614,chr1,-,1006442
ENSG00000224969,chr1,-,1013193
AGRN,chr1,+,1020119
ENSG00000242590,chr1,+,1055032
ENSG00000291156,chr1,+,1058460
ENSG00000273443,chr1,-,1064278
ENSG00000304119,chr1,-,1069347
ENSG00000304169,chr1,+,1069212
RNF223,chr1,-,1074306
C1orf159,chr1,-,1116361
ENSG00000285812,chr1,+,1097584
ENSG00000299943,chr1,-,1129023
LINC01342,chr1,+,1137016
ENSG00000304965,chr1,-,1158254
MIR200B,chr1,+,1167103
MIR200A,chr1,+,1167862
MIR429,chr1,+,1169004
ENSG00000272141,chr1,+,1169356
TTLL10-AS1,chr1,-,1179555
TTLL10,chr1,+,1173879
TNFRSF18,chr1,-,1206592
TNFRSF4,chr1,-,1214153
ENSG00000304412,chr1,+,1216907
SDF4,chr1,-,1232031
B3GALT6,chr1,+,1232236
C1QTNF12,chr1,-,1246722
ENSG00000260179,chr1,-,1251334
UBE2J2,chr1,-,1273864
LINC01786,chr1,+,1274032
SCNN1D,chr1,+,1280435
ACAP3,chr1,-,1309609
MIR6726,chr1,-,1296170
PUSL1,chr1,+,1308596
INTS11,chr1,-,1324687
MIR6727,chr1,-,1312566
ENSG00000240731,chr1,-,1318689
CPTP,chr1,+,1324755
TAS1R3,chr1,+,1331279
DVL1,chr1,-,1349418
MIR6808,chr1,-,1339708
ENSG00000304860,chr1,+,1348182
MXRA8,chr1,-,1361777
AURKAIP1,chr1,-,1375207
CCNL2,chr1,-,1399335
MRPL20-AS1,chr1,+,1399475
MRPL20,chr1,-,1407293
RN7SL657P,chr1,-,1405752
