target,neighbor,distance,chromosome,target_tss,neighbor_tss,target_strand,neighbor_strand,divergent
ABCD1,BCAP31,290,chrX,153724855,153724565,+,-,True
ALG12,CRELD2,272,chr22,49918438,49918166,-,+,False
ANKZF1,ATG9A,65,chr2,219229782,219229717,+,-,True
BCL7C,CTF1,2311,chr16,30894302,30896613,-,+,True
C5orf22,DROSHA,90,chr5,31532286,31532196,+,-,True
CENPB,CDC25B,31,chr20,3786740,3786771,-,+,True
CHD3,NAA38,443,chr17,7884795,7885238,+,-,False
CHKB,MAPK8IP2,663,chr22,50601455,50600792,-,+,False
CLCN6,MTHFR,360,chr1,11806095,11806455,+,-,False
COX4I1,EMC8,976,chr16,85798632,85799608,+,-,False
DCAF16,NCAPG,220,chr4,17810758,17810978,-,+,True
DNTTIP1,WFDC3,21,chr20,45791953,45791932,+,-,True
DOT1L,AP3D1,536,chr19,2163932,2164468,+,-,False
DPH2,ATP6V0B,4487,chr1,43969999,43974486,+,+,False
E2F4,EXOC3L1,1969,chr16,67192154,67190185,+,-,True
EIF3H,UTP23,421,chr8,116766925,116766504,-,+,False
EPM2AIP1,MLH1,94,chr3,36993131,36993225,-,+,True
FAM120A,FAM120AOS,1897,chr9,93451684,93453581,+,-,False
FHL3,UTP11,3651,chr1,38005606,38009257,-,+,True
FUBP1,DNAJB4,64,chr1,77979110,77979174,-,+,True
FUBP1,GIPC2,431,chr1,77979110,77979541,-,+,True
GLYR1,UBN1,624,chr16,4847288,4846664,-,+,False
GSTZ1,POMT2,112,chr14,77320995,77320883,+,-,True
HDAC3,RELL2,100,chr5,141636849,141636949,-,+,True
HMGXB3,TIGD6,609,chr5,150000045,150000654,+,-,False
HOMEZ,PPP1R3E,3063,chr14,23299796,23302859,-,-,False
HOMEZ,BCL2L2,1007,chr14,23299796,23298789,-,+,False
JMJD8,STUB1,4305,chr16,684528,680223,-,+,False
KDM5A,CCDC77,48,chr12,389320,389272,-,+,False
KRT18,KRT8,1084,chr12,52948870,52949954,+,-,False
LMBRD2,SKP2,101,chr5,36151887,36151988,-,+,True
MAPK7,B9D1,473,chr17,19377720,19378193,+,-,False
MED15,KLHL22,68,chr22,20495912,20495844,+,-,True
MED25,FUZ,905,chr19,49818281,49817376,+,-,True
MLLT10,SKIDA1,1723,chr10,21524645,21526368,+,-,False
MYD88,ACAA1,1309,chr3,38138551,38137242,+,-,True
NABP2,RNF41,81,chr12,56222014,56221933,+,-,True
NAIF1,SLC25A25,6,chr9,128068206,128068200,-,+,False
NIPAL3,STPG1,1133,chr1,24415801,24416934,+,-,False
NUP37,PARPBP,62,chr12,102120120,102120182,-,+,True
PAN2,IL23A,120,chr12,56334053,56334173,-,+,True
PARP3,RRP9,440,chr3,51942344,51941904,+,-,True
PBLD,HNRNPH3,1876,chr10,68333049,68331173,-,+,False
PCGF1,LBX2,4379,chr2,74507695,74503316,-,-,False
PDE6D,COPS7B,4602,chr2,231786272,231781670,-,+,False
PHF23,GABARAP,2727,chr17,7239722,7242449,-,-,False
PLAGL2,POFUT1,111,chr20,32207743,32207854,-,+,True
PPIP5K2,GIN1,10,chr5,103120148,103120138,+,-,True
PPP2R3C,PRORP,672,chr14,35122517,35121845,-,+,False
PRMT7,SLC7A6OS,4,chr16,68310950,68310946,+,-,True
PTMS,MLF2,1960,chr12,6765515,6767475,+,-,False
PYCR1,MYADML2,4821,chr17,81942412,81947233,-,-,False
RAB5A,EFHB,71,chr3,19947096,19947025,+,-,True
RABEP2,CD19,4562,chr16,28936526,28931964,-,+,False
RBM18,MRRF,238,chr9,122264840,122264602,-,+,False
RNF10,COQ5,955,chr12,120533479,120534434,+,-,False
RSRC1,SHOX2,566,chr3,158105854,158106420,+,-,False
SLC39A1,CREB3L4,651,chr1,153968184,153967533,-,+,False
SLIRP,ALKBH1,47,chr14,77708070,77708023,+,-,True
SSR4,IDH3G,997,chrX,153793515,153794512,+,-,False
STAT6,LRP1,3657,chr12,57132139,57128482,-,+,False
STK3,OSR2,1575,chr8,98942827,98944402,-,+,True
STRAP,EPS8,57,chr12,15882386,15882329,+,-,True
STT3A,FEZ1,857,chr11,125591711,125592568,+,-,False
SUPT7L,SLC4A1AP,415,chr2,27663840,27663425,-,+,False
TARBP2,MAP3K12,857,chr12,53500920,53500063,+,-,True
TBCK,AIMP1,1140,chr4,106316683,106315543,-,+,False
TMEM104,NAT9,131,chr17,74776498,74776367,+,-,True
TMEM209,SSMEM1,1427,chr7,130207770,130206343,-,+,False
TMEM79,SMG5,109,chr1,156282934,156282825,+,-,True
TRAPPC6A,BLOC1S3,546,chr19,45178237,45178783,-,+,True
TRIM35,PTK2B,209,chr8,27311272,27311481,-,+,True
TRIP4,PCLAF,60,chr15,64387747,64387687,+,-,True
TRMT1,NACC1,706,chr19,13117567,13116861,-,+,False
TWF2,PPM1M,1030,chr3,52246788,52245758,-,+,False
TXNDC16,GPR137C,288,chr14,52552547,52552835,-,+,True
UROS,BCCIP,257,chr10,125823288,125823545,-,+,True
WBP4,ELF1,68,chr13,41061508,41061440,+,-,True
ZNF174,ZSCAN32,149,chr16,3401214,3401065,+,-,True
ZNF514,ZNF2,237,chr2,95165668,95165431,-,+,False
ZNF526,DEDD2,151,chr19,42220291,42220140,+,-,True
ZNF581,ZNF580,443,chr19,55635458,55635015,+,+,False
ZNF627,ELOF1,143,chr19,11559373,11559230,+,-,True
ZNF740,CSAD,222,chr12,53180703,53180925,+,-,False
ZRANB3,R3HDM1,236,chr2,135531218,135531454,-,+,True
